,Source,Target,Weight,Type
1,Machen_ChristianityLiberalism,Machen_LitHistNT,46,undirected
2,Machen_ChristianityLiberalism,Machen_OriginPaulReligion,44,undirected
3,Machen_ChristianityLiberalism,Mencken_Nietzche,2,undirected
4,Machen_ChristianityLiberalism,VanTil_ChristianTheisticEthics,13,undirected
5,Machen_ChristianityLiberalism,VanTil_ProtestantDoctrineScripture,9,undirected
6,Machen_ChristianityLiberalism,VanTil_SurveyChristianEpistemology,10,undirected
7,Machen_LitHistNT,Machen_ChristianityLiberalism,46,undirected
8,Machen_LitHistNT,Machen_OriginPaulReligion,60,undirected
9,Machen_LitHistNT,Poe_Works1,12,undirected
10,Machen_LitHistNT,Rian_Unbelief,3,undirected
11,Machen_OriginPaulReligion,Machen_ChristianityLiberalism,44,undirected
12,Machen_OriginPaulReligion,Machen_LitHistNT,60,undirected
13,Machen_OriginPaulReligion,Poe_Works1,11,undirected
14,Mencken_AmericanLanguage,Mencken_DefenseWomen,49,undirected
15,Mencken_AmericanLanguage,Mencken_Nietzche,31,undirected
16,Mencken_AmericanLanguage,Poe_FallHouseUsher,13,undirected
17,Mencken_AmericanLanguage,Poe_Works1,11,undirected
18,Mencken_AmericanLanguage,Rian_Unbelief,11,undirected
19,Mencken_DefenseWomen,Mencken_AmericanLanguage,49,undirected
20,Mencken_DefenseWomen,Mencken_Nietzche,60,undirected
21,Mencken_DefenseWomen,Poe_FallHouseUsher,16,undirected
22,Mencken_DefenseWomen,Poe_Works1,19,undirected
23,Mencken_DefenseWomen,Rian_Unbelief,3,undirected
24,Mencken_Nietzche,Machen_ChristianityLiberalism,2,undirected
25,Mencken_Nietzche,Mencken_AmericanLanguage,31,undirected
26,Mencken_Nietzche,Mencken_DefenseWomen,60,undirected
27,Mencken_Nietzche,Poe_FallHouseUsher,1,undirected
28,Mencken_Nietzche,Poe_Works1,36,undirected
29,Mencken_Nietzche,Rian_Unbelief,1,undirected
30,Mencken_Nietzche,VanTil_ChristianTheisticEthics,6,undirected
31,Mencken_Nietzche,VanTil_ProtestantDoctrineScripture,1,undirected
32,Poe_FallHouseUsher,Mencken_AmericanLanguage,13,undirected
33,Poe_FallHouseUsher,Mencken_DefenseWomen,16,undirected
34,Poe_FallHouseUsher,Mencken_Nietzche,1,undirected
35,Poe_FallHouseUsher,Poe_Works1,60,undirected
36,Poe_FallHouseUsher,Rian_Unbelief,18,undirected
37,Poe_Works1,Machen_LitHistNT,12,undirected
38,Poe_Works1,Machen_OriginPaulReligion,11,undirected
39,Poe_Works1,Mencken_AmericanLanguage,11,undirected
40,Poe_Works1,Mencken_DefenseWomen,19,undirected
41,Poe_Works1,Mencken_Nietzche,36,undirected
42,Poe_Works1,Poe_FallHouseUsher,60,undirected
43,Poe_Works1,Rian_Unbelief,24,undirected
44,Rian_Unbelief,Machen_LitHistNT,3,undirected
45,Rian_Unbelief,Mencken_AmericanLanguage,11,undirected
46,Rian_Unbelief,Mencken_DefenseWomen,3,undirected
47,Rian_Unbelief,Mencken_Nietzche,1,undirected
48,Rian_Unbelief,Poe_FallHouseUsher,18,undirected
49,Rian_Unbelief,Poe_Works1,24,undirected
50,VanTil_ChristianTheisticEthics,Machen_ChristianityLiberalism,13,undirected
51,VanTil_ChristianTheisticEthics,Mencken_Nietzche,6,undirected
52,VanTil_ChristianTheisticEthics,VanTil_ProtestantDoctrineScripture,50,undirected
53,VanTil_ChristianTheisticEthics,VanTil_SurveyChristianEpistemology,60,undirected
54,VanTil_ProtestantDoctrineScripture,Machen_ChristianityLiberalism,9,undirected
55,VanTil_ProtestantDoctrineScripture,Mencken_Nietzche,1,undirected
56,VanTil_ProtestantDoctrineScripture,VanTil_ChristianTheisticEthics,50,undirected
57,VanTil_ProtestantDoctrineScripture,VanTil_SurveyChristianEpistemology,40,undirected
58,VanTil_SurveyChristianEpistemology,Machen_ChristianityLiberalism,10,undirected
59,VanTil_SurveyChristianEpistemology,VanTil_ChristianTheisticEthics,60,undirected
60,VanTil_SurveyChristianEpistemology,VanTil_ProtestantDoctrineScripture,40,undirected
